gene_name,item_number,product_name
PXK,HZGHC000103c013,Human PXK 1bp insertion knockout cell line
PXK,HZGHC000103c020,Human PXK 11bp deletion knockout cell line
RPS6KB1,HZGHC000104c011,Human RPS6KB1 2bp deletion knockout cell line
RPS6KB1,HZGHC000104c014,Human RPS6KB1 16bp deletion knockout cell line
RPS6KB2,HZGHC000105c004,Human RPS6KB2 19bp deletion knockout cell line
RPS6KB2,HZGHC000105c011,Human RPS6KB2 16bp deletion knockout cell line
RPS6KB2,HZGHC000105c020,Human RPS6KB2 5bp deletion knockout cell line
SBK1,HZGHC000106c010,Human SBK1 5bp deletion knockout cell line
SBK1,HZGHC000106c017,Human SBK1 28bp deletion knockout cell line
SBK1,HZGHC000106c018,Human SBK1 4bp deletion knockout cell line
SIK2,HZGHC000107c012,Human SIK2 1bp insertion knockout cell line
SIK2,HZGHC000107c015,Human SIK2 1bp insertion knockout cell line
SRPK1,HZGHC000108c003,Human SRPK1 16bp deletion knockout cell line
SRPK1,HZGHC000108c016,Human SRPK1 31bp deletion knockout cell line
STK4,HZGHC000109c007,Human STK4 2bp insertion knockout cell line
STK4,HZGHC000109c008,Human STK4 10bp deletion knockout cell line
TRIB2,HZGHC000110c017,Human TRIB2 2bp deletion knockout cell line
TRIB2,HZGHC000110c018,Human TRIB2 242bp insertion knockout cell line
TRIB3,HZGHC000111c010,Human TRIB3 11bp deletion knockout cell line
TRIB3,HZGHC000111c022,Human TRIB3 4bp deletion knockout cell line
TTBK2,HZGHC000113c001,Human TTBK2 19bp deletion knockout cell line
TTBK2,HZGHC000113c011,Human TTBK2 11bp deletion knockout cell line
TTBK2,HZGHC000113c021,Human TTBK2 7bp deletion knockout cell line
TWF2,HZGHC000114c004,Human TWF2 7bp deletion knockout cell line
TWF2,HZGHC000114c005,Human TWF2 22bp deletion knockout cell line
TYRO3,HZGHC000115c011,Human TYRO3 4bp deletion knockout cell line
TYRO3,HZGHC000115c015,Human TYRO3 2bp insertion knockout cell line
TYRO3,HZGHC000115c016,Human TYRO3 8bp deletion knockout cell line
DDX6,HZGHC000116c001,Human DDX6 1bp insertion knockout cell line
DDX6,HZGHC000116c008,Human DDX6 170bp insertion knockout cell line
B3GNT1,HZGHC000119c011,Human B3GNT1 2bp deletion knockout cell line
B3GNT1,HZGHC000119c017,Human B3GNT1 1bp deletion knockout cell line
B3GNT1,HZGHC000119c019,Human B3GNT1 2bp deletion knockout cell line
DAG1,HZGHC000120c013,Human DAG1 17bp deletion knockout cell line
DAG1,HZGHC000120c016,Human DAG1 1bp deletion knockout cell line
DAG1,HZGHC000120c020,Human DAG1 17bp deletion knockout cell line
LARGE,HZGHC000122c005,Human LARGE 1bp insertion knockout cell line
LARGE,HZGHC000122c006,Human LARGE 1bp insertion knockout cell line
LARGE,HZGHC000122c007,Human LARGE 1bp insertion knockout cell line
WT1,HZGHC000126c009,Human WT1 4bp deletion knockout cell line
WT1,HZGHC000126c010,Human WT1 1bp insertion knockout cell line
WT1,HZGHC000126c020,Human WT1 1bp insertion knockout cell line
AKT1,HZGHC000127c007,Human AKT1 5bp deletion knockout cell line
AKT1,HZGHC000127c015,Human AKT1 5bp deletion knockout cell line
AKT1,HZGHC000127c018,Human AKT1 4bp deletion knockout cell line
BMP2K,HZGHC000128c009,Human BMP2K 7bp insertion knockout cell line
BMP2K,HZGHC000128c016,Human BMP2K 4bp deletion knockout cell line
CAMK1D,HZGHC000129c018,Human CAMK1D 23bp deletion knockout cell line
CAMK1D,HZGHC000129c020,Human CAMK1D 16bp deletion knockout cell line
CAMK1D,HZGHC000129c023,Human CAMK1D 7bp deletion knockout cell line
CAMK2D,HZGHC000130c011,Human CAMK2D 1bp insertion knockout cell line
CAMK2D,HZGHC000130c016,Human CAMK2D 1bp insertion knockout cell line
CDC42BPA,HZGHC000131c001,Human CDC42BPA 13bp deletion knockout cell line
CDC42BPA,HZGHC000131c023,Human CDC42BPA 2bp deletion knockout cell line
CDK17,HZGHC000132c004,Human CDK17 7bp deletion knockout cell line
CDK17,HZGHC000132c009,Human CDK17 10bp deletion knockout cell line
CDK2,HZGHC000133c011,Human CDK2 17bp deletion knockout cell line
CLK1,HZGHC000135c009,Human CLK1 2bp deletion knockout cell line
CLK1,HZGHC000135c020,Human CLK1 5bp insertion knockout cell line
CLK3,HZGHC000136c007,Human CLK3 1bp insertion knockout cell line
CSNK1G3,HZGHC000138c008,Human CSNK1G3 31bp deletion knockout cell line
CSNK1G3,HZGHC000138c018,Human CSNK1G3 1bp deletion knockout cell line
DSTYK,HZGHC000139c005,Human DSTYK 17bp deletion knockout cell line
DSTYK,HZGHC000139c018,Human DSTYK 5bp deletion knockout cell line
DYRK2,HZGHC000140c005,Human DYRK2 1bp insertion knockout cell line
DYRK2,HZGHC000140c006,Human DYRK2 16bp deletion knockout cell line
DYRK2,HZGHC000140c009,Human DYRK2 1bp deletion knockout cell line
EIF2AK1,HZGHC000141c006,Human EIF2AK1 1bp deletion knockout cell line
ICK,HZGHC000144c017,Human ICK 4bp deletion knockout cell line
MAP2K3,HZGHC000145c015,Human MAP2K3 14bp deletion knockout cell line
MAP2K5,HZGHC000146c004,Human MAP2K5 10bp deletion knockout cell line
MAP3K12,HZGHC000147c001,Human MAP3K12 14bp deletion knockout cell line
MAP3K12,HZGHC000147c014,Human MAP3K12 8bp deletion knockout cell line
MAP3K12,HZGHC000147c024,Human MAP3K12 2bp deletion knockout cell line
MAP3K3,HZGHC000148c004,Human MAP3K3 8bp deletion knockout cell line
MAP3K7,HZGHC000149c018,Human MAP3K7 2bp deletion knockout cell line
MAP3K7,HZGHC000149c022,Human MAP3K7 2bp deletion knockout cell line
MAPK7,HZGHC000150c010,Human MAPK7 9bp deletion knockout cell line
MAPK7,HZGHC000150c011,Human MAPK7 18bp deletion knockout cell line
MAPK7,HZGHC000150c018,Human MAPK7 5bp deletion knockout cell line
MARK3,HZGHC000151c001,Human MARK3 1bp insertion knockout cell line
MARK3,HZGHC000151c014,Human MARK3 5bp deletion knockout cell line
MARK3,HZGHC000151c016,Human MARK3 17bp deletion knockout cell line
MARK4,HZGHC000152c006,Human MARK4 2bp deletion knockout cell line
MARK4,HZGHC000152c008,Human MARK4 29bp deletion knockout cell line
MAST4,HZGHC000153c003,Human MAST4 13bp deletion knockout cell line
MAST4,HZGHC000153c023,Human MAST4 2bp deletion knockout cell line
MATK,HZGHC000154c010,Human MATK 2bp deletion knockout cell line
MATK,HZGHC000154c011,Human MATK 2bp deletion knockout cell line
MATK,HZGHC000154c022,Human MATK 7bp deletion knockout cell line
MKNK2,HZGHC000156c008,Human MKNK2 16bp deletion knockout cell line
MKNK2,HZGHC000156c020,Human MKNK2 4bp deletion knockout cell line
MST4,HZGHC000157c014,Human MST4 8bp deletion knockout cell line
MST4,HZGHC000157c015,Human MST4 7bp deletion knockout cell line
MST4,HZGHC000157c016,Human MST4 2bp deletion knockout cell line
NEK2,HZGHC000158c002,Human NEK2 1bp insertion knockout cell line
NEK2,HZGHC000158c023,Human NEK2 25bp deletion knockout cell line
NEK4,HZGHC000159c014,Human NEK4 13bp deletion knockout cell line
NEK4,HZGHC000159c015,Human NEK4 8bp deletion knockout cell line
PAK1,HZGHC000160c012,Human PAK1 8bp deletion knockout cell line
PAK1,HZGHC000160c014,Human PAK1 10bp deletion knockout cell line
PAK1,HZGHC000160c015,Human PAK1 1bp insertion knockout cell line
PAK4,HZGHC000161c010,Human PAK4 2bp deletion knockout cell line
PAK4,HZGHC000161c014,Human PAK4 31bp deletion knockout cell line
PAK4,HZGHC000161c022,Human PAK4 16bp deletion knockout cell line
PASK,HZGHC000162c003,Human PASK 20bp deletion knockout cell line
PASK,HZGHC000162c006,Human PASK 5bp deletion knockout cell line
PASK,HZGHC000162c021,Human PASK 28bp deletion knockout cell line
PDK2,HZGHC000163c014,Human PDK2 7bp deletion knockout cell line
PDK2,HZGHC000163c020,Human PDK2 10bp deletion knockout cell line
PDK2,HZGHC000163c023,Human PDK2 5bp deletion knockout cell line
